Name,lon,lat
Livermore - Rincon,-121.784217,37.687526
Oakland East,-122.16993500000001,37.743065
Oakland West,-122.282347,37.814780999999996
Laney College,-122.263376,37.793624
Chico - East Avenue,-121.84161999999999,39.761538
SAN ANDREAS - GOLD STRIKE ROAD,-120.68156699999999,38.201852
Cortina Indian Rancheria,-122.281803,39.021221000000004
Colusa-Sunrise Blvd,-122.017728,39.202935
Concord,-122.026154,37.936013
San Pablo - Rumrill,-122.35681100000001,37.9604
Fresno - Garland,-119.774174,36.785322
Fresno - Garland,-119.774174,36.785322
Fresno - Garland,-119.774174,36.785322
Fresno - Garland,-119.774174,36.785322
Tranquillity,-120.38233100000001,36.634225
Clovis,-119.71735600000001,36.819111
Clovis,-119.71735600000001,36.819111
FRESNO-Pacific College,-119.73299999999999,36.72639
,-123.675233,41.047117
EUREKA-JACOBS,-124.1775,40.776944
Eureka-Humboldt Hill,-124.20138999999999,40.71528
Eureka-Humboldt Hill,-124.20138999999999,40.71528
CALEXICO HIGH SCHOOL  ARB (#1300698),-115.484144,32.676186
CALEXICO HIGH SCHOOL  ARB (#1300698),-115.484144,32.676186
CALEXICO HIGH SCHOOL  ARB (#1300698),-115.484144,32.676186
CALEXICO HIGH SCHOOL  ARB (#1300698),-115.484144,32.676186
BRAWLEY-MAIN STREET #2,-115.53917,32.97833
EL CENTRO-9TH STREET,-115.56306000000001,32.79222
Keeler,-117.871036,36.487823
Keeler,-117.871036,36.487823
Bakersfield-Golden/M St,-119.015009,35.385574
Mojave,-118.14729399999999,35.050551
Bakersfield-California Avenue,-119.04120900000001,35.356092
Bakersfield-California Avenue,-119.04120900000001,35.356092
Ridgecrest-California Av.,-117.67296,35.62109
BAKERSFIELD - SOUTHEAST (PLANZ),-118.99916699999999,35.322928000000005
Corcoran,-119.56695400000001,36.10218
Hanford,-119.64457,36.314399
LAKEPORT-LAKEPORT BLVD.,-122.92228999999999,39.0327
Azusa,-117.92391,34.1365
Los Angeles (Main St.),-118.22688000000001,34.066590000000005
Los Angeles (Main St.),-118.22688000000001,34.066590000000005
Reseda,-118.53276000000001,34.19925
Compton,-118.205,33.901389
Pico Rivera #2,-118.06995,34.01194
Pasadena,-118.1272,34.1326
Long Beach (North),-118.18921,33.82376
,-118.17533,33.792359999999995
Long Beach-Route 710 Near Road,-118.200278,33.859444
Antelope Valley Air Monitoring Station,-118.131456,34.671394
Picayune Tribal Office,-119.69906499999999,37.2136
,-120.034203,36.953256
,-120.034203,36.953256
San Rafael,-122.520004,37.97231
UKIAH-LIBRARY,-123.20655,39.15047
WILLITS JUSTICE CENTER,-123.35264,39.41174
Merced-Coffee,-120.434992,37.281597999999995
2334 'M' ST.,-120.480993,37.308537
CARMEL VALLEY,-121.731571,36.495767
King City 2,-121.12637099999999,36.209286
Salinas 3,-121.63718200000001,36.69676
Salinas 3,-121.63718200000001,36.69676
Napa - Jefferson St.,-122.29618899999998,38.310942
Grass Valley - Litton Bldg,-121.056591,39.234331
Truckee-Fire Station,-120.171291,39.338504
Truckee-Fire Station,-120.171291,39.338504
Anaheim,-117.93845,33.83062
Mission Viejo,-117.67593000000001,33.63003
Auburn-11645 Atwood,-121.09958999999999,38.93568
Roseville-N Sunrise Blvd,-121.26631200000001,38.745726
Quincy-N. Church Street,-120.93882099999999,39.937098999999996
Portola North Substation,-120.47068999999999,39.813359999999996
Pechanga,-117.088649,33.447866999999995
Pechanga,-117.088649,33.447866999999995
Morongo,-116.83,33.945
Morongo,-116.83,33.945
Indio,-116.21537,33.708529999999996
Palm Springs,-116.54101000000001,33.85275
Rubidoux,-117.41601000000001,33.99958
Rubidoux,-117.41601000000001,33.99958
Mira Loma (Van Buren),-117.49330400000001,33.995638
Mira Loma (Van Buren),-117.49330400000001,33.995638
Sacramento-Del Paso Manor,-121.36801399999999,38.613779
Sacramento-Del Paso Manor,-121.36801399999999,38.613779
Sacramento-1309 T Street,-121.492981,38.558228
Sacramento-1309 T Street,-121.492981,38.558228
Folsom-Natoma,-121.16445700000001,38.683304
Sacramento-Health Dept.,-121.458499,38.556326
Hollister 2,-121.362121,36.844096
Ontario-Route 60 Near Road,-117.61721999999999,34.030833
Victorville -Park Avenue,-117.331433,34.510014
Victorville -Park Avenue,-117.331433,34.510014
Fontana,-117.49201000000001,34.10002
Big Bear,-116.86444399999999,34.264444
San Bernardino,-117.27411000000001,34.10688
Chula Vista,-117.059075,32.631231
Escondido,-117.075325,33.127711
San Diego - Beardsley Street,-117.149653,32.701492
La Posta Reservation,-116.36520300000001,32.725226
San Diego-Kearny Villa Road,-117.12389399999999,32.845467
San Diego-Kearny Villa Road,-117.12389399999999,32.845467
El Cajon - Floyd Smith Drive,-116.96813300000001,32.817978000000004
Pala Airpad,-117.09023,33.362593
Pala Airpad,-117.09023,33.362593
Pala Airpad,-117.09023,33.362593
San Francisco - Arkansas St.,-122.39904399999999,37.765946
"HAZELTON-HD, STOCKTON",-121.268523,37.950741
"HAZELTON-HD, STOCKTON",-121.268523,37.950741
Manteca,-121.24871999999999,37.793231
Unocal - Nipomo,-120.56388000000001,35.02083
SAN LUIS OBISPO,-120.66986100000001,35.256577
MESA CAL FIRE STATION 22,-120.584301,35.03331
ATASCADERO CITY FIRE DEPARTMENT,-120.66803999999999,35.49158
Atascadero Lift Station #5,-120.66617,35.49453
Redwood City,-122.20336999999999,37.482934
Santa Barbara-National Guard Armory,-119.69121799999999,34.427775
RELOCATED FROM ARB SITE AT 500 S. BROADWAY,-120.43763,34.949146999999996
Lompoc H Street,-120.4575,34.63782
Goleta,-119.8284,34.44551
Gilroy - 9th St,-121.574684,36.999571
San Jose - Jackson St.,-121.894898,37.348496999999995
San Jose - Jackson St.,-121.894898,37.348496999999995
San Jose Knox Ave.,-121.849783,37.338135
Santa Cruz 4,-121.989328,36.983921
San Lorenzo Valley Middle School AMS,-122.084129,37.063069
Redding - Health Dept,-122.382011,40.549985
Yreka-Siskiyou Co. APCD Lab,-122.633579,41.726892
Vallejo - Tuolumne St.,-122.237976,38.102507
Vallejo - Tuolumne St.,-122.237976,38.102507
Sebastopol,-122.818294,38.403765
Modesto-14th Street,-120.99462199999999,37.641583000000004
Modesto-14th Street,-120.99462199999999,37.641583000000004
Turlock,-120.837005,37.487981
Yuba City-Almond Street,-121.618549,39.138773
Visalia - N. Church,-119.291228,36.332179
THOUSAND OAKS,-118.870496,34.210153999999996
PIRU,-118.809946,34.404268
OJAI,-119.231321,34.448048
SIMI VALLEY,-118.683757,34.276362
SIMI VALLEY,-118.683757,34.276362
EL RIO,-119.143176,34.252378
Woodland-Gibson Road,-121.73268999999999,38.66121
