id,lon,lat,label
3637,-76.487151,38.977186,91 Main Street
5082,-76.471498,38.948854,Annapolis Beach House
705,-76.936202,38.945909,"Bladensburg, Maryland"
3511,-76.195184,38.742044,Chanceux
7674,-76.921768,38.921633,Cheverly
679,-76.945783,38.993609,College Park
697,-76.945204,38.993759,"College Park, Maryland "
685,-76.936287,38.945981,Community Forklift 
2241,-77.188568,39.265518,"Damascus, MD"
4043,-76.993211,39.238097,Dayton
4602,-76.601037,39.197976,ex
6728,-77.174052,39.37026,Kmdmount33
2510,-76.621533,39.34587,Loyola Maryland
1652,-76.605052,39.297676,Loyola Mobile 1
1676,-76.605335,39.29762,Loyola Mobile 2
4647,-76.876874,39.010569,NGEL_TEMP
8722,-76.604763,39.29768,Old Town - LoyolaMD
763,-76.943193,38.993412,"School of Public Health, UMD"
3090,-77.068308,39.083157,Strathmore at Bel Pre
2221,-76.541911,38.159033,"Tall Timbers, MD"
4593,-76.555392,39.177278,Tanyard Springs
