id	lon	lat	label
100	-121.889191	37.361971	San Jose
129	-122.50795	37.758239	San Francisco - Outer Sunset
185	-118.268681	34.073635	Echo Park P1
186	-118.268681	34.073635	Echo Park P2
187	-115.938793	33.540036	North shore 70 P1
188	-115.938793	33.540036	North shore 70 P2
193	-116.207652	33.700258	Coachella city P1
194	-116.207652	33.700258	Coachella City P2
195	-124.128893	41.059725	Trinidad 
200	-116.076002	33.572943	Mecca 5th and C P1
203	-120.67506	35.615743	Paso Robles, CA P2
204	-120.67506	35.615743	Paso Robles, CA P1
205	-117.146628	34.059641	Redlands_1 P1
206	-117.146628	34.059641	Redlands_1 P2
209	-117.034367	34.062265	Yucaipa_3 P1
210	-117.034367	34.062265	Yucaipa_3 P2
211	-117.144925	34.047246	Redlands_9 P1
212	-117.144925	34.047246	Redlands_9 P2
213	-117.095381	34.021978	Yucaipa_1 P1
214	-117.095381	34.021978	Yucaipa_1 P2
215	-117.266987	34.063472	LomaLinda_1 P1
216	-117.266987	34.063472	LomaLinda_1 P2
219	-117.063003	34.019903	Yucaipa_7 P1
220	-117.063003	34.019903	Yucaipa_7 P2
221	-117.415335	33.999516	Riverside_1 P1
223	-117.188945	34.030939	Redlands_6 P1
224	-117.188945	34.030939	Redlands_6 P2
225	-117.040512	34.006184	Yucaipa_6 P1
227	-117.099526	34.068967	Mentone_2 P1
228	-117.099526	34.068967	Mentone_2 P2
229	-117.182137	34.023388	Redlands_8 P1
230	-117.182137	34.023388	Redlands_8 P2
232	-117.415811	33.999494	RivBlank_01
234	-117.046089	34.028348	Yucaipa_4 P1
235	-117.046089	34.028348	Yucaipa_4 P2
236	-117.191	34.034336	Redlands_10 P1
237	-117.191	34.034336	Redlands_10 P2
238	-117.158449	34.074435	Redlands_4 P1
239	-117.158449	34.074435	Redlands_4 P2
240	-117.157	34.02975	Redlands_11 P1
241	-117.157	34.02975	Redlands_11 P2
242	-117.016377	34.04243	Yucaipa_5 P1
243	-117.016377	34.04243	Yucaipa_5 P2
244	-117.186711	34.033946	Redlands_7 P1
245	-117.186711	34.033946	Redlands_7 P2
246	-117.158554	34.067174	Redlands_5 P1
247	-117.158554	34.067174	Redlands_5 P2
250	-117.124758	34.019221	Redlands_2 P1
251	-117.124758	34.019221	Redlands_2 P2
254	-117.095381	34.021378	Yucaipa_2 P1
255	-117.095381	34.021378	Yucaipa_2 P2
258	-117.150079	34.04129	Redlands_3 P1
259	-117.150079	34.04129	Redlands_3 P2
260	-117.159975	34.119936	Highland_1 P1
261	-117.159975	34.119936	Highland_1 P2
262	-117.124099	34.07615	Mentone _1 P2
263	-117.124099	34.07615	Mentone _1 P1
275	-121.861336	37.659357	Pleasanton
302	-118.15067	34.10671	Fair Oaks/Huntington
304	-118.164815	34.037013	USCEHC East Los Angeles
318	-118.512015	34.027623	Santa Monica - San Vicente Near Palisades Park P1
319	-118.512015	34.027623	Santa Monica - San Vicente Near Palisades Park P2
377	-122.637774	38.23408	Downtown Petaluma
381	-122.638379	38.234021	Petaluma Downtown P1
382	-122.638379	38.234021	Petaluma Downtown P2
401	-118.353846	33.848677	Del Amo Hawthorne P1
402	-118.353846	33.848677	Del Amo Hawthorne P2
403	-118.062038	34.126771	Arcadia
407	-118.339362	33.842609	Motor Parts of America P1
408	-118.339362	33.842609	Motor Parts of America P2
409	-118.133229	33.814145	Peters House LB-CCA
411	-118.326179	34.178697	CCA Beachwood and Chandler
413	-118.327087	33.835839	Torrance Crenshaw P1
414	-118.327087	33.835839	Torrance Crenshaw P2
415	-118.292275	33.734291	Gaffey & 11th P1
416	-118.292275	33.734291	Gaffey & 11th P2
419	-118.369276	33.815226	PCH Calle P1
420	-118.369276	33.815226	PCH Calle P2
469	-119.701655	36.724512	sunnyside (interieur)
473	-119.701662	36.724515	Sunnyside 93727
489	-118.260944	33.795551	CCA W-7
493	-118.294998	33.758962	CCA SP-4
495	-118.244492	33.788154	CCAW-2
499	-118.248639	33.790142	CCAW1
503	-117.243605	34.03904	practicum
509	-116.192195	33.696097	Rancho Las Flores Park
515	-118.260078	33.771583	CCAW-8
547	-118.021296	34.065666	AQMD_RTI_1
567	-118.06222	34.126789	Arcadia
569	-118.317777	33.866321	CCA 182nd and Van Ness
571	-118.335988	33.8583	CCA 190th and Cranbrook
573	-118.330409	33.867939	CCA 180th and Glenburn Torrance
575	-118.298955	33.73881	CCA SP-3
577	-118.267881	33.775313	CCAW-5
579	-118.322067	33.839356	CCA Torrance Pacific and Maricopa
581	-118.372611	33.907902	CCA 137th and Glascow
583	-118.226068	34.089558	CCA Pepper
587	-118.45673	34.067912	Westwood
589	-117.839586	33.639387	UHills-Mendel
591	-117.280533	33.62995	Wildomar
593	-118.134408	34.18452	CCA El Molino
595	-121.142311	38.676603	purple folsom
597	-116.113111	33.544919	San Jose
599	-116.067253	33.573169	Mecca2
601	-116.124802	33.634935	#1
641	-120.666478	35.494594	Colony Park
691	-122.246045	37.543563	Redwood Shores
743	-121.895072	37.335312	15th floor 225 West Santa Clara St.
767	-121.921965	37.709121	Kari's PurpleAir
906	-121.480245	38.544578	Sacramento (Curtis Park)
914	-117.87188	36.488187	Keeler 2
936	-117.871086	36.488221	GBUPACD_KEELER
1004	-122.254016	37.879632	Building 90 - 4th floor
1012	-122.251723	37.878324	B51F intermittently open to outside
1014	-122.266033	37.846338	North Oakland IAQ House - Indoors
1128	-118.206389	34.068458	USCEHC Lincoln Heights
1142	-122.258171	38.104107	Carolina Street
1164	-120.439186	34.92719	Santa Maria, CA 
1166	-119.781108	34.443004	Santa Barbara CA
1178	-120.357943	37.67254	CARB_SMOKE_MCAPCD_Don-Pedro-Elem
1184	-119.848669	37.450072	CARB_SMOKE_MCAPCD_Woodland
1186	-122.332982	40.357509	CARB_SMOKE_TCAPCD_EVERGREENSCHOOLDISTRICT
1188	-121.4941	38.56638	95818
1192	-119.80827	37.672786	CARB_SMOKE_MCAPCD_ElPortalSchool
1194	-121.493627	38.568469	Sacramento 1
1196	-121.463244	38.562918	Chez Ynez
1208	-121.493224	38.568383	Sacramento 2
1212	-119.963516	37.488161	CARB_SMOKE_MCAPCD_MES/HS
1216	-119.642774	37.550167	CARB_Smoke_MCAPCD_Wawona
1226	-122.401602	37.768393	Volta Charging
1264	-121.73749	38.553649	Davis (Ivy Town)
1266	-118.387819	33.86322	CCA Hermosa Beach 10th St
1292	-121.595983	39.801945	CARB_SMOKE_BCAQMD_MAGALIA
1296	-119.967635	37.488437	CARB_MCAPCD_Health_Outside
1300	-122.671394	38.481491	Santa Rosa 2
1304	-119.840427	37.500598	CARB_SMOKE_MARIPOSA_MDO
1308	-122.634222	41.726571	CARB_SMOKE_SCAPCD_YREKA
1312	-122.643702	41.727952	Siskiyou County Office of Education
1366	-118.267473	33.797277	CCA w-6
1425	-118.298045	33.845612	CCA Kenwood
1436	-118.307771	33.735391	CCA Averill
1497	-117.899686	33.600613	CCA Balboa Pier East
1501	-118.328735	33.846801	CCA Del Amo & Crenshaw
1503	-118.233978	34.091691	CCA Riverdale
1507	-118.229687	34.085791	CCA Oros
1509	-118.232573	34.090563	CCA Shoredale
1513	-118.30562	33.731549	CCA Patton
1517	-118.287979	34.059919	2857 W. 7th Street
1527	-116.072799	33.563327	ECV_stanthony
1558	-118.404591	34.02178	31ad
1586	-118.404591	34.02178	38bb
1588	-118.411381	34.028411	Shaista
1596	-122.487734	37.628714	Pacifica Sharp Park
1604	-120.673705	35.611543	Paso Robles (Nicklaus St)
1636	-121.938962	37.313375	San Jose
1642	-118.300481	34.088502	East Hollywood
1648	-117.743445	34.104334	BikeSGV Pomona
1650	-118.052747	34.066623	El Monte, CA
1654	-118.043981	34.041974	South El Monte
1656	-117.981372	34.017088	BikeSGV - Hacienda Heights - 9th/Gale
1678	-118.143168	34.148522	BikeSGV - Day One Pasadena
1680	-117.970322	34.096551	BikeSGV - Baldwin Park
1684	-118.1424	34.070987	BikeSGV - Alhambra
1686	-118.179443	34.168053	BikeSGV - West Pasadena
1688	-118.028741	34.089243	Bike San Gabriel Valley
1694	-118.129276	34.155172	BikeSGV Pasadena #2
1698	-117.334653	33.970975	RGarden
1706	-117.329349	33.971003	UCR_2
1708	-117.327894	33.974504	UCR_3
1734	-118.135187	34.088141	APIFM 1
1742	-122.507665	37.758148	Outer Sunset- Ocean Beach at Kirkham
1748	-118.428709	34.023915	SCUV_09
1760	-118.427621	34.025376	SCUV_13Indoor
1762	-119.516689	34.411056	SBCAPCD_Info
1786	-118.248457	33.831634	USCEHC Carson
1794	-117.345471	33.981944	RUSD_7 (John North HS)
1796	-117.901443	33.601416	CCA Balboa Pier West
1800	-117.492079	34.100118	AQMD_Fontana
1804	-117.350541	33.878643	RUSD_2 (Frank Augusts MS)
1806	-117.428603	33.913314	RUSD_1 (Arlington HS)
1808	-117.312564	33.968836	RUSD_5 (STEM Academy)
1810	-117.333287	33.882072	RUSD_3 (MLK HS)
1814	-117.336898	33.987828	RUSD_6 (University Heights MS)
1816	-118.145649	33.763767	AQMD_NASA_16
1818	-117.310595	33.890731	RUSD_4 (Amelia Earhart MS)
1822	-117.385882	33.972211	RUSD_8 (Central MS)
1826	-117.379848	33.939391	RUSD_9 (Gage MS)
1828	-117.411189	33.952616	RUSD_10 (Sierra MS)
1830	-118.460769	34.040372	west Los Angeles 
1832	-117.41456	33.941528	RUSD_11 (Ramona HS)
1846	-118.348052	34.094693	AQMD_NASA_8
1848	-118.060746	34.141759	AQMD_NASA_25
1850	-118.297535	34.064682	AQMD_NASA_10
1852	-117.90991	34.021534	AQMD_NASA_2
1854	-117.416022	33.999503	RIVR_Co-loc2
1856	-118.181925	34.082261	AQMD_NASA_13
1858	-118.406279	33.962801	AQMD_NASA_9a
1860	-118.079777	33.762472	SCSB_02
1866	-117.416764	33.999978	RIVR_Co-loc1
1870	-122.243537	38.110553	Amador St @ Stutz
1872	-122.188702	38.103588	Somerset Hills
1874	-122.220027	38.066784	Glen Cove Ridge
1876	-118.460205	34.01826	AQMD_NASA_4
1878	-122.244778	38.085676	Winchester Hill
1882	-122.230468	38.077987	Navone St.
