id	lon	lat	label
314	-104.732366	39.434022	Parker
2245	-106.098991	39.62018	Lodgepole Village Silverthorne CO
2392	-104.553031	39.404252	Elizabeth, CO
2490	-104.933661	40.403118	Johnstown
2520	-105.094362	38.978132	Rosewood Hills
2900	-105.040846	39.753103	West Denver PA-II
3062	-105.271287	40.040773	Kalmia 
3067	-104.70199	38.913636	Ridgeview @ Stetson Hills
3201	-107.015573	37.743173	RG Meadows
3311	-104.76312	40.000152	Brighton East Farms
4022	-104.981215	39.708215	Wash Park West
4583	-105.168028	40.138184	Clover Basin Consulting
4637	-105.113982	40.540491	Fort Collins, CO
4643	-105.251468	39.989433	JENSA
4823	-108.352371	39.11182	Downtown Palisade
4867	-105.222622	40.03656	Specialized Bicycles/ Retul
4892	-105.006737	39.47746	Louviers
5374	-104.962445	40.509917	Timnath
5416	-107.098936	37.274816	121 Dutton Pagoda Springs Co
5764	-108.580962	39.05056	Scissors home
6592	-104.908142	39.256274	Fremont Court
6776	-108.522162	39.038535	CCA Emily Drive
6982	-108.705352	39.069995	CCA Inside 3
7422	-107.647995	38.860887	Paonia - Stucker Mesa
7504	-107.87935	37.269525	Canyon Wren 1
7624	-108.360261	39.103281	CCA Elberta Ave
7628	-108.879358	39.278532	CCA 9 Road
7640	-108.348834	39.110099	CCA Town of Palisade
7648	-108.731146	39.157929	CCA South Peach Street
7936	-104.690206	39.354202	FRANKTOWN, CO
7956	-104.988855	39.785917	Globeville
8012	-108.544491	39.107124	CCA Alpine Bank Horizon Drive
8018	-108.606781	39.148769	CCA 24 and J
8026	-108.606709	39.095777	CCA Alpine Bank Mesa Mall
8028	-108.554973	39.131243	CCA Airport West
8030	-108.707161	39.206806	CCA RT Horseshoe DR
8032	-108.483254	39.091663	CCA Cross Orchards
8068	-108.733874	39.1591	CCA Alpine Bank Fruita
9254	-108.580509	39.133145	CCA Quail Run
9308	-108.635299	39.088805	CCA Sunny Meadow
9486	-108.684387	39.09479	CCA Inside 2
9672	-104.803252	39.000422	The Farm - Inside
9936	-105.083952	40.562709	Fort Collins Spring Creek Gardens
9980	-104.803303	39.000298	Colorado Springs - The Farm
10234	-108.560283	39.10044	Round Hill
10238	-105.256316	40.007681	2905 College Ave B18F
10658	-107.09065	39.3927	APCD Basalt
10696	-107.664811	37.809721	APCD-Silverton
10724	-108.429395	39.047658	Alamar Stables
10806	-105.269811	40.007743	2905 College Ave 6020
11082	-107.87766	37.275557	Ouzel1
11084	-107.821382	37.241189	Ouzel2
11092	-107.812978	37.406194	RiscoRojoGuestHouse
11680	-108.138222	39.16617	CCA Mesa
11686	-108.467642	39.067212	CCA Dove Creek
11688	-108.553723	39.090232	Allergy and Asthma Center
11694	-108.258899	38.956402	CCA Kannah Creek
11702	-108.453237	39.091148	CCA Alpine Bank  Clifton
11776	-108.459191	39.095112	CCA 32 Road North
11786	-108.559654	39.080263	CCA Eureka! Science Museum
11792	-108.556373	39.113826	CCA Continental
11794	-108.565561	39.108482	CCA Sunset Terrace
11800	-108.697107	39.046836	CCA Inside 4
11986	-107.842915	37.334528	Tumminaro
12070	-105.281434	40.05066	Sumac-Broadway
12318	-107.746346	37.164084	Tumminaro Hangar
12399	-106.292221	39.248293	Lake County Courthouse
12405	-106.383206	39.083125	Twin Lakes
12461	-106.988055	38.958453	Rocky Mtn Biological Lab
12465	-107.710567	38.810866	HarperFarm
12481	-107.817876	37.304911	Ute Pass West
12833	-107.866733	37.279542	Campbell Center
12837	-108.556443	39.078469	Clark
12863	-106.081242	39.571439	Summit County Government #1
12997	-107.821006	37.53443	Flying S
13009	-104.786965	39.640502	TigerDenWX
13121	-107.813239	37.937874	Miramonte Building
13223	-107.877982	37.264573	Canary I
13335	-106.661204	39.721867	Landfill, Wolcott, CO.
13763	-106.945975	39.212217	TOSV City Hall
