id,lon,lat,label
8682,-96.674362,33.028073,Briarcreek station
6404,-95.389966,29.786128,Heights
5125,-98.449745,29.476345,736 Grandview
3777,-95.707644,29.762896,Windsor Park
2695,-95.729524,30.179461,"Magnolia, TX"
2796,-97.8372,30.2767,Lost Creek
8716,-106.674916,35.815964,"Jemez Springs, Area 3, #2"
8846,-93.237137,31.055069,"Leesville, LA"
3501,-95.944,36.732,Woodland
5618,-106.675149,35.816095,"Jemez Springs, Area 3"
7570,-105.853058,35.567589,La Canada
6412,-95.386554,29.781189,Woodland Heights
2837,-102.138702,32.036239,"Sage Park - Midland, TX"
3607,-97.27233,33.151812,Ponder
2842,-95.659897,30.41311,Grand Harbor Sec 4
3363,-98.307037,29.792835,Heritage Oaks 2 Miles
7558,-97.518471,38.004278,Halstead Rd & 2nd St
2727,-97.053392,36.187605,Osterhout
4780,-97.2472,37.750268,Eaglerock Village
2802,-98.905079,30.533723,Putman Mountain Observatory
4143,-96.726779,33.085509,Cross Creek
8752,-98.303936,29.75468,BGR
8754,-98.327629,29.750973,Fallspring
8758,-98.34086,29.750195,HCRanch
7488,-97.096141,28.012621,Rockport Texas
2875,-106.540093,35.170044,Heritage East
2994,-98.145346,29.752775,"New Braunfels, TX"
8256,-95.296371,32.947074,"S. Main, Winnsboro, TX"
2528,-105.781216,32.959647,"Pineywoods, near Cloudcroft NM"
2243,-95.808622,36.087489,"Battlecreek Golf Course, Broken Arrow, OK"
3396,-95.123967,29.571507,77062-4503
7622,-98.616804,29.820382,ShaneLn
4041,-97.72693,30.306089,Austin Pad
2508,-97.06985,33.056248,TVEW
4301,-96.528538,29.853833,Frelsburg
2768,-98.477399,29.408494,LIME Factory
2386,-95.076818,29.53199,The Lakefront
2644,-96.599294,32.99084,Sachse Farms
7382,-97.328943,30.360421,F.M. 3000
3159,-98.459322,29.672438,"Summerglen, Texas"
5592,-95.342007,29.738097,Air Alliance Houston (outside)
3033,-95.737387,29.955063,Bridgeland
4111,-101.913815,33.594065,"Lubbock, Texas"
3292,-97.17,28.85,"Mission Valley, Texas"
5598,-94.989144,30.882373,Colita TX
8544,-98.6105,29.8097,HCMS UL
3298,-95.120087,29.583349,Bay Forest
4027,-97.386581,32.638702,French Lake
8548,-97.199508,33.003913,"Turnberry-Outside, Trophy Club, TX, USA"
5862,-95.218162,30.057116,kwd_out
4840,-96.685111,33.163669,Skywatch McKinney Weather Station
8554,-98.6105,29.8094,HCMS WH
2667,-97.230241,32.921511,908 Bellstone Dr
2540,-104.515193,33.443867,"Roswell, New Mexico"
4946,-95.429382,29.742455,St John's School
2800,-105.577648,36.414742,Valverde
4337,-94.838958,36.922197,Quapaw Industrial Park
8562,-98.6105,29.8082,HCMS FG
3699,-97.510645,35.513861,"4224 N Santa Fe Ave, OKC, ok 73105"
2806,-97.8485,30.483,Ranch@CypressCreek
2938,-106.859894,32.300338,Joseph Yaroch
3579,-106.720445,35.28246,Loma Pinon
2301,-94.710844,32.509131,"Leona St, Longview, TX"
3583,-95.11873,29.570752,Jgg
